,created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet,label,final_tweet
40,2021-03-09 11:56:59,1369255893183963146,"Birmingham, England","['@', 'phildelves', 'yes', 'mate', '&', 'amp', ';', 'adidas', 'too']",TFShirts,Chris @ TFShirts,Fri Mar 15 12:33:58 +0000 2019,[],0,0,0,"['phildelves', 'yes', 'mate', 'amp', 'adidas']"
41,2021-03-09 11:56:58,1369255890835144706,she/her | ot4,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",jennmaingirl,ٰ,Thu Sep 10 08:26:02 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
42,2021-03-09 11:56:57,1369255885575491585,United Kingdom,"['rt', '@', 'pluggedglobal', ':', 'adidas', 'yeezy', '450', 'cloud', 'white', 'uk3.5', '-', 'uk13.5', 'available', '✅', 'prices', 'starting', 'from', '£319.99', 'dm', 'for', 'purchase', 'info', '📥', ':', 'https', ':', '//…']",cloutjordy,2021Vlone,Sun Dec 16 21:57:57 +0000 2018,[],0,1,1,"['rt', 'pluggedglobal', 'adidas', 'yeezy', 'cloud', 'white', 'available', 'price', 'start', 'dm', 'purchase', 'info', 'http']"
45,2021-03-09 11:56:39,1369255808903516160,LISA's HEART,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",LisaBestGirl327,LisaBestGirl,Fri Jun 05 13:45:46 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
46,2021-03-09 11:56:38,1369255806626127875,"Baguio City, Philippines ","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",marzxx4,Marz Suba🌙☀️,Tue Mar 20 05:57:26 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
48,2021-03-09 11:56:37,1369255803379679235,Kanchanaburi,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",IAMPPPUI8891_,iampppui_,Mon Mar 19 05:19:25 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
50,2021-03-09 11:56:24,1369255747385720834,"Sydney, Australia","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",dong_jane,Kpopstan,Tue Feb 25 04:49:15 +0000 2014,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
52,2021-03-09 11:56:20,1369255730956689408,Texas,"['check', 'out', 'this', 'listing', 'i', 'just', 'added', 'to', 'my', '#', 'poshmark', 'closet', ':', 'adidas', 'shoes', '.', 'https', ':', '//t.co/e7i0f8jmq3', '#', 'shopmycloset', '@', 'poshmarkapp']",sarah_boyd1,sarah boyd,Mon Jul 29 01:09:24 +0000 2013,"[{'url': 'https://t.co/E7i0f8jMQ3', 'expanded_url': 'https://poshmark.com/listing/6024986443895f5e18cef951?utm_campaign=referral_code%3DSARAH_A_BOYD&utm_source=tw_sh&utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3A40a1147b-c7f0-4005-bb7a-0c338f507ccd%26ext_trk%3Dbranch', 'display_url': 'poshmark.com/listing/602498…', 'indices': [74, 97]}]",0,0,0,"['check', 'listing', 'add', 'poshmark', 'closet', 'adidas', 'shoe', 'http', 'shopmycloset', 'poshmarkapp']"
53,2021-03-09 11:56:09,1369255686459297798,He/Him,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",snoopwu,𝙋𝙚𝘼𝙘𝙀,Wed Aug 07 15:30:47 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
54,2021-03-09 11:56:05,1369255668297969669,ot4 blink,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",lisaroyalice,ranh ❄️,Fri Jan 25 10:27:56 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
55,2021-03-09 11:56:04,1369255664963497984,sunflowers,"['haechan', 'with', 'adidas', '#', 'haechanxadidas', '#', 'adidasxhaechan', '#', 'haechan', '#', '해찬', 'https', ':', '//t.co/diflwiecme']",lovelyechana,⁶⁶INDAH🌻💛,Sat Mar 07 02:40:44 +0000 2020,[],0,0,0,"['haechan', 'adidas', 'haechanxadidas', 'adidasxhaechan', 'haechan', '해찬', 'http']"
61,2021-03-09 11:55:21,1369255482989424643,𝕗ᴀ𝕚ʀ𝕪 ᴄ𝕚ᴛ𝕪 ᵈʳᵉᵃᵐˡᵃⁿᵈ,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",W00CHILK,⌇❐⚘s⃟ᴜ𝕤ʜ𝕚🍙❀,Mon Mar 08 16:33:22 +0000 2021,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
62,2021-03-09 11:55:20,1369255479122161669,blackpink | กรช,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",thesvq,Seven% #OnTheGround,Tue Apr 09 07:13:30 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
65,2021-03-09 11:55:00,1369255393671618563,Fan Account,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",ailurovphile,bila🌹Rosé -R- comingsoon !!,Wed Jun 05 15:07:46 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
67,2021-03-09 11:54:56,1369255377632714772,"Bridgeview,Illinois / Jalisco","['rt', '@', 'lilyachty', ':', 'i', 'need', 'dese', '@', 'adidas']",jorgepalomar12,Jorge,Wed May 23 21:49:06 +0000 2012,[],0,157,0,"['rt', 'lilyachty', 'need', 'dese', 'adidas']"
69,2021-03-09 11:54:47,1369255341582651403,United Kingdom,"['adidas', 'yeezy', '450', 'cloud', 'white', 'uk3.5', '-', 'uk13.5', 'available', '✅', 'prices', 'starting', 'from', '£319.99', 'dm', 'for', 'purchase', 'info', '📥', ':', '…', 'https', ':', '//t.co/8mec4gxivt']",PluggedGlobal,Plugged Global LTD,Tue Jan 12 14:59:03 +0000 2021,"[{'url': 'https://t.co/8MEc4gXivT', 'expanded_url': 'https://twitter.com/i/web/status/1369255341582651403', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]",1,1,1,"['adidas', 'yeezy', 'cloud', 'white', 'available', 'price', 'start', 'dm', 'purchase', 'info', 'http']"
74,2021-03-09 11:54:39,1369255306300121091,Emirates Stadium ,"['rt', '@', 'grimhull', ':', 'arsenal', '+', 'adidas', '=', 'holy', 'land😍', 'https', ':', '//t.co/o4f8slvinu']",KikissGMoss,フランスの世界チャンピオン ⭐️⭐️🇫🇷,Fri Jul 23 00:10:03 +0000 2010,[],0,16,0,"['rt', 'grimhull', 'arsenal', 'adidas', 'holy', 'http']"
77,2021-03-09 11:54:31,1369255275006410753,"Santpedor, Cataluña","['adidas', 'air', 'mbappe', '.', '😎😎', 'https', ':', '//t.co/oqb9abjgg2']",tristbearYT,Trist 🇲🇩,Mon Sep 29 11:57:51 +0000 2014,"[{'url': 'https://t.co/oQB9aBjgG2', 'expanded_url': 'https://twitter.com/werlyb/status/1369251282293305345', 'display_url': 'twitter.com/werlyb/status/…', 'indices': [22, 45]}]",0,0,0,"['adidas', 'air', 'mbappe', 'http']"
80,2021-03-09 11:54:27,1369255256660406274,"Nagpur, India","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",BlackpinkNagpur,BLΛƆKPIИK [ 블랙핑크 ] NAGPUR,Sun Sep 08 17:36:44 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
82,2021-03-09 11:54:26,1369255252734644224,"Sakaman,Accra ","['rt', '@', 'winchester_boye', ':', 'adidas', 'massager', 'slides', 'available', '220', 'cedis', 'sizes', '38-46', 'kindly', 'retweet', 'my', 'hustle🥺', 'https', ':', '//t.co/cceq6rnk3p']",Jasszn,riley,Sat Dec 31 06:01:14 +0000 2016,[],0,8,1,"['rt', 'adidas', 'massager', 'slide', 'available', 'cedi', 'size', 'kindly', 'retweet', 'http']"
85,2021-03-09 11:54:18,1369255220707024899,"Akure, Nigeria","['rt', '@', 'dremodrizzy', ':', 'wan', 'na', 'walk', 'into', 'the', 'bank', 'and', 'cash', 'my', 'cheques', 'in', 'adidas', 'https', ':', '//t.co/mlibp6pho8']",Olumose_31,Olumose,Fri Dec 11 18:55:44 +0000 2020,[],0,34,0,"['rt', 'dremodrizzy', 'wan', 'na', 'walk', 'bank', 'cash', 'cheque', 'adidas', 'http']"
86,2021-03-09 11:54:14,1369255202025582596,East Of Toronto,"['rt', '@', 'kicksdealsca', ':', 'paying', 'homage', 'to', 'the', 'og', 'black', 'and', 'white', 'colourway', 'of', 'the', 'adidas', 'superstar', ',', 'you', 'get', 'a', 'classic', 'take', 'on', 'modern', 'innovation', 'wi…']",GPSARTMAN,Å,Sat Apr 14 22:38:49 +0000 2012,[],0,1,1,"['rt', 'kicksdealsca', 'pay', 'homage', 'og', 'black', 'white', 'colourway', 'adidas', 'superstar', 'get', 'classic', 'take', 'modern', 'innovation']"
88,2021-03-09 11:54:09,1369255179837669384,"Lekki, Lagos","['rt', '@', 'shutabug', ':', 'someone', 'call', 'adidas', 'and', 'tell', 'them', 'i', 'have', 'some', 'ideas', '.', 'https', ':', '//t.co/hwgds7t0nk']",PerfectTouch_,Ada with the magic fingers,Fri Jul 24 13:43:51 +0000 2020,[],0,14282,0,"['rt', 'shutabug', 'someone', 'call', 'adidas', 'tell', 'idea', 'http']"
89,2021-03-09 11:54:06,1369255168823332865,4❤️,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",jenjenjenlisa,🧸,Wed Jan 16 13:05:58 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
91,2021-03-09 11:53:59,1369255139522076674,Victoria Concordia Crescit,"['starboys', 'sign', 'with', 'nike', 'and', 'adidas', '.', 'saka', 'signing', 'for', 'nb', '&', 'lt', ';']",SlevinIII,ESRenal,Thu Dec 24 11:02:06 +0000 2015,[],0,0,0,"['starboys', 'sign', 'nike', 'adidas', 'saka', 'sign', 'nb', 'lt']"
92,2021-03-09 11:53:55,1369255122232995842,LALISA LAND,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",ThitalalisaM,💃🏼𝖬𝖮𝖭𝖠 𝖫𝖨𝖸𝖮𝖭𝖢𝖤́💃🏼,Tue Jun 02 03:56:02 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
94,2021-03-09 11:53:44,1369255078255730692,secret,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",yoongimtv,𝐇𝐀𝐏𝐏𝐘 𝐁𝐈𝐑𝐓𝐇𝐃𝐀𝐘 𝐘𝐎𝐎𝐍𝐆𝐈⁷,Mon Dec 31 01:30:27 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
